player_id,firstname,lastname,position,height,weight,byear,rookie,position.number,team_id
201933,Blake,Griffin,Forward-Center,82,250,1989,2010,8,1610612746
201935,James,Harden,Guard-Forward,77,220,1989,2009,4,1610612745
201936,Tyreke,Evans,Guard-Forward,78,220,1989,2009,4,1610612740
201937,Ricky,Rubio,Point-Guard,76,185,1990,2011,1,1610612750
201939,Stephen,Curry,Guard,75,185,1988,2009,2,1610612744
201941,Jordan,Hill,Forward-Center,82,235,1987,2009,8,1610612754
201942,DeMar,DeRozan,Guard-Forward,79,217,1989,2009,4,1610612761
201943,Brandon,Jennings,Point-Guard,73,169,1989,2009,1,1610612753
201945,Gerald,Henderson,Guard-Forward,77,215,1987,2009,4,1610612757
201946,Tyler,Hansbrough,Forward-Center,81,250,1985,2009,8,1610612766
201949,James,Johnson,Forward,81,248,1987,2009,6,1610612761
201950,Jrue,Holiday,Point-Guard,76,205,1990,2009,1,1610612740
201951,Ty,Lawson,Point-Guard,71,195,1987,2009,1,1610612745
201952,Jeff,Teague,Point-Guard,74,181,1988,2009,1,1610612737
201954,Darren,Collison,Point-Guard,72,175,1987,2009,1,1610612758
201956,Omri,Casspi,Small-Forward,81,225,1988,2009,5,1610612758
201959,Taj,Gibson,Forward-Center,81,225,1985,2009,8,1610612741
201960,DeMarre,Carroll,Forward,80,212,1986,2009,6,1610612761
201961,Wayne,Ellington,Shooting-Guard,76,200,1987,2009,3,1610612751
201962,Toney,Douglas,Guard,74,185,1986,2009,2,1610612740
201965,Jeff,Ayres,Forward-Center,81,250,1987,2009,8,0
201967,Dante,Cunningham,Power-Forward,80,221,1987,2009,7,1610612740
201971,DeJuan,Blair,Forward-Center,79,260,1989,2009,8,0
201973,Jonas,Jerebko,Forward,82,231,1987,2009,6,1610612738
201975,Jodie,Meeks,Shooting-Guard,76,210,1987,2009,3,1610612765
201976,Patrick,Beverley,Guard,73,185,1988,2012,2,1610612745
201977,Marcus,Thornton,Shooting-Guard,76,205,1987,2009,3,1610612745
201978,Chase,Budinger,Guard-Forward,79,209,1988,2009,4,1610612754
201980,Danny,Green,Guard-Forward,78,210,1987,2009,4,1610612759
201988,Patty,Mills,Point-Guard,72,185,1988,2009,1,1610612759
202066,Garrett,Temple,Guard,78,191,1986,2009,2,1610612764
202083,Wesley,Matthews,Guard-Forward,77,214,1986,2009,4,1610612742
202087,Alonzo,Gee,Guard-Forward,78,225,1987,2009,4,1610612740
202322,John,Wall,Point-Guard,76,212,1990,2010,1,1610612764
202323,Evan,Turner,Guard-Forward,79,220,1988,2010,4,1610612738
202324,Derrick,Favors,Forward-Center,82,268,1991,2010,8,1610612762
202325,Wesley,Johnson,Guard-Forward,79,215,1987,2010,4,1610612746
202326,DeMarcus,Cousins,Forward-Center,83,270,1990,2010,8,1610612758
202328,Greg,Monroe,Forward-Center,83,250,1990,2010,8,1610612749
202329,Al-Farouq,Aminu,Small-Forward,81,215,1990,2010,5,1610612757
202330,Gordon,Hayward,Guard-Forward,80,220,1990,2010,4,1610612762
202331,Paul,George,Guard-Forward,81,225,1990,2010,4,1610612754
202332,Cole,Aldrich,Center,83,245,1988,2010,9,1610612746
202334,Ed,Davis,Forward-Center,82,225,1989,2010,8,1610612757
202335,Patrick,Patterson,Forward-Center,81,235,1989,2010,8,1610612761
202337,Luke,Babbitt,Forward,81,225,1989,2010,6,1610612740
202338,Kevin,Seraphin,Forward-Center,81,280,1989,2010,8,1610612752
202339,Eric,Bledsoe,Guard,73,199,1989,2010,2,1610612756
202340,Avery,Bradley,Guard,74,180,1990,2010,2,1610612738
202341,James,Anderson,Guard-Forward,78,215,1989,2010,4,1610612758
202343,Elliot,Williams,Shooting-Guard,77,185,1989,2011,3,0
202344,Trevor,Booker,Power-Forward,80,240,1987,2010,7,1610612762
202347,Quincy,Pondexter,Guard-Forward,78,225,1988,2010,4,1610612740
202349,Greivis,Vasquez,Guard,78,211,1987,2010,2,1610612749
202353,Tibor,Pleiss,Center,87,256,1989,2010,9,1610612762
202355,Hassan,Whiteside,Center,84,265,1989,2010,9,1610612748
202357,Nemanja,Bjelica,Power-Forward,82,234,1988,2010,7,1610612750
202362,Lance,Stephenson,Guard-Forward,77,227,1990,2010,4,1610612763
202379,Jeremy,Evans,Forward,81,197,1987,2010,6,1610612742
202388,Donald,Sloan,Guard,75,210,1988,2011,2,1610612751
202389,Timofey,Mozgov,Center,85,250,1986,2010,9,1610612739
202390,Gary,Neal,Guard,76,210,1984,2010,2,1610612764
202391,Jeremy,Lin,Guard,75,200,1988,2010,2,1610612766
202397,Ish,Smith,Point-Guard,72,175,1988,2010,1,1610612755
202407,Elijah,Millsap,Shooting-Guard,78,225,1987,2015,3,0
202498,Lance,Thomas,Forward,80,225,1988,2011,6,1610612752
202681,Kyrie,Irving,Guard,75,193,1992,2011,2,1610612739
202682,Derrick,Williams,Forward,80,240,1991,2011,6,1610612752
202683,Enes,Kanter,Center,83,247,1992,2011,9,1610612760
202684,Tristan,Thompson,Forward-Center,81,238,1991,2011,8,1610612739
202685,Jonas,Valanciunas,Center,84,257,1992,2012,9,1610612761
202687,Bismack,Biyombo,Center,81,245,1992,2011,9,1610612761
202688,Brandon,Knight,Guard,75,189,1991,2011,2,1610612756
202689,Kemba,Walker,Point-Guard,73,184,1990,2011,1,1610612766
202690,Jimmer,Fredette,Guard,74,195,1989,2011,2,1610612752
202691,Klay,Thompson,Guard-Forward,79,205,1990,2011,4,1610612744
202692,Alec,Burks,Guard,78,211,1991,2011,2,1610612762
202693,Markieff,Morris,Forward-Center,82,245,1989,2011,8,1610612764
202694,Marcus,Morris,Power-Forward,81,228,1989,2011,7,1610612765
202695,Kawhi,Leonard,Guard-Forward,79,230,1991,2011,4,1610612759
202696,Nikola,Vucevic,Forward-Center,84,240,1990,2011,8,1610612753
202697,Iman,Shumpert,Guard-Forward,77,220,1990,2011,4,1610612739
202699,Tobias,Harris,Forward,81,226,1992,2011,6,1610612765
202700,Donatas,Motiejunas,Forward,84,222,1990,2012,6,1610612745
202702,Kenneth,Faried,Power-Forward,80,228,1989,2011,7,1610612743
202703,Nikola,Mirotic,Power-Forward,82,250,1991,2014,7,1610612741
202704,Reggie,Jackson,Guard,75,208,1990,2011,2,1610612765
202708,Norris,Cole,Point-Guard,74,175,1988,2011,1,1610612740
202709,Cory,Joseph,Point-Guard,75,190,1991,2011,1,1610612761
202710,Jimmy,Butler,Guard-Forward,79,220,1989,2011,4,1610612741
202711,Bojan,Bogdanovic,Small-Forward,79,226,1989,2014,5,1610612751
202712,Justin,Harper,Power-Forward,82,225,1989,2011,7,0
202713,Kyle,Singler,Guard-Forward,80,230,1988,2012,4,1610612760
202714,Shelvin,Mack,Point-Guard,75,207,1990,2011,1,1610612762
202718,Chandler,Parsons,Forward,81,227,1988,2011,6,1610612742
202720,Jon,Leuer,Forward-Center,82,228,1989,2011,8,1610612756
202730,Lavoy,Allen,Forward-Center,81,255,1989,2011,8,1610612754
202734,E'Twaun,Moore,Guard,76,191,1989,2011,2,1610612741
202738,Isaiah,Thomas,Point-Guard,69,185,1989,2011,1,1610612738
203076,Anthony,Davis,Forward-Center,82,220,1993,2012,8,1610612740
203077,Michael,Kidd-Gilchrist,Small-Forward,79,232,1993,2012,5,1610612766
203078,Bradley,Beal,Shooting-Guard,76,212,1993,2012,3,1610612764
203079,Dion,Waiters,Shooting-Guard,76,225,1991,2012,3,1610612760
203080,Thomas,Robinson,Power-Forward,82,237,1991,2012,7,1610612751
203081,Damian,Lillard,Point-Guard,75,195,1990,2012,1,1610612757
203082,Terrence,Ross,Guard-Forward,79,197,1991,2012,4,1610612761
203083,Andre,Drummond,Forward-Center,83,279,1993,2012,8,1610612765
203084,Harrison,Barnes,Forward,80,222,1992,2012,6,1610612744
203085,Austin,Rivers,Guard,76,200,1992,2012,2,1610612746
203086,Meyers,Leonard,Forward-Center,85,255,1992,2012,8,1610612757
203087,Jeremy,Lamb,Guard-Forward,77,185,1992,2012,4,1610612766
203088,Kendall,Marshall,Point-Guard,76,195,1991,2012,1,1610612755
203089,John,Henson,Forward-Center,83,220,1990,2012,8,1610612749
203090,Maurice,Harkless,Small-Forward,81,220,1993,2012,5,1610612757
203092,Tyler,Zeller,Forward-Center,84,253,1990,2012,8,1610612738
203093,Terrence,Jones,Forward,81,252,1992,2012,6,1610612745
203094,Andrew,Nicholson,Power-Forward,81,250,1989,2012,7,1610612753
203095,Evan,Fournier,Shooting-Guard,79,204,1992,2012,3,1610612753
203096,Jared,Sullinger,Forward-Center,81,260,1992,2012,8,1610612738
203098,John,Jenkins,Guard-Forward,76,215,1991,2012,4,1610612742
203099,Jared,Cunningham,Guard,76,195,1991,2012,2,1610612753
203100,Tony,Wroten,Point-Guard,78,210,1993,2012,1,0
203101,Miles,Plumlee,Forward-Center,83,255,1988,2012,8,1610612749
203105,Festus,Ezeli,Center,83,255,1989,2012,9,1610612744
203109,Jae,Crowder,Forward,78,235,1990,2012,6,1610612738
203110,Draymond,Green,Small-Forward,79,230,1990,2012,5,1610612744
203111,Orlando,Johnson,Small-Forward,77,225,1989,2012,5,0
203112,Quincy,Acy,Power-Forward,79,233,1990,2012,7,1610612758
203114,Khris,Middleton,Forward,79,215,1991,2012,6,1610612749
203115,Will,Barton,Shooting-Guard,78,185,1991,2012,3,1610612743
203118,Mike,Scott,Power-Forward,80,237,1988,2012,7,1610612737
203123,Kostas,Papanikolaou,Small-Forward,80,225,1990,2014,5,0
203124,Kyle,O'Quinn,Forward-Center,82,240,1990,2012,8,1610612752
203135,Robert,Sacre,Center,84,260,1989,2012,9,1610612747
203138,Hollis,Thompson,Forward,80,206,1991,2013,6,1610612755
203141,Mirza,Teletovic,Forward,81,242,1985,2012,6,1610612756
203142,Chris,Copeland,Forward,80,235,1984,2012,6,0
203143,Pablo,Prigioni,Guard,75,185,1977,2012,2,1610612746
203145,Kent,Bazemore,Guard-Forward,77,201,1989,2012,4,1610612737
203148,Brian,Roberts,Guard,73,173,1985,2012,2,1610612757
203186,Willie,Reed,Center,84,220,1990,2015,9,1610612751
203187,Chris,Johnson,Forward,78,201,1990,2012,6,1610612762
203200,Justin,Holiday,Guard-Forward,78,180,1989,2013,4,1610612741
203210,JaMychal,Green,Power-Forward,80,227,1990,2015,7,1610612763
203268,Jorge,Gutierrez,Point-Guard,75,191,1988,2014,1,1610612766
203382,Aron,Baynes,Center,82,260,1986,2012,9,1610612765
203457,Nerlens,Noel,Forward-Center,82,228,1994,2013,8,1610612755
203458,Alex,Len,Center,85,255,1993,2013,9,1610612756
203459,Allen,Crabbe,Shooting-Guard,78,197,1992,2013,3,1610612757
203460,Andre,Roberson,Forward,79,210,1991,2013,6,1610612760
203461,Anthony,Bennett,Forward,80,259,1993,2013,6,1610612761
203462,Archie,Goodwin,Shooting-Guard,77,186,1994,2013,3,1610612756
203463,Ben,McLemore,Shooting-Guard,77,195,1993,2013,3,1610612758
203468,CJ,McCollum,Guard,75,197,1991,2013,2,1610612757
203469,Cody,Zeller,Forward-Center,84,240,1992,2013,8,1610612766
203471,Dennis,Schroder,Point-Guard,73,168,1993,2013,1,1610612737
203473,Dewayne,Dedmon,Center,84,255,1989,2013,9,1610612753
203475,Erick,Green,Point-Guard,76,185,1991,2014,1,1610612762
