"GAME_ID","event_id","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","game_clock"
21500506,226,2,1,3,"5:15 PM","0:59","MISS Thomas 25' 3PT Jump Shot",NA,"","","",4,202498,"Lance Thomas",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",59
21500506,227,4,0,3,"5:15 PM","0:57","Anthony REBOUND (Off:3 Def:3)",NA,"","","",4,2546,"Carmelo Anthony",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",57
21500506,228,6,1,3,"5:15 PM","0:55","",NA,"Sefolosha P.FOUL (P1.T3) (H.Workman)","","",5,200757,"Thabo Sefolosha",1610612737,"Atlanta","Hawks","ATL",4,2546,"Carmelo Anthony",1610612752,"New York","Knicks","NYK",1,0,"",NA,"","","",55
21500506,229,2,58,3,"5:16 PM","0:52","MISS Thomas 10' Turnaround Hook Shot",NA,"","","",4,202498,"Lance Thomas",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",52
21500506,230,4,0,3,"5:16 PM","0:51","",NA,"Horford REBOUND (Off:0 Def:2)","","",5,201143,"Al Horford",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",51
21500506,231,1,42,3,"5:16 PM","0:47","",NA,"Mack 3' Driving Layup (8 PTS) (Korver 3 AST)","73 - 84","11",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",5,2594,"Kyle Korver",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",47
21500506,232,5,1,3,"5:16 PM","0:29","Grant Bad Pass Turnover (P1.T13)",NA,"Sefolosha STEAL (2 STL)","","",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",5,200757,"Thabo Sefolosha",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",29
21500506,233,1,1,3,"5:16 PM","0:24","",NA,"Korver 27' 3PT Jump Shot (9 PTS) (Mack 3 AST)","76 - 84","8",5,2594,"Kyle Korver",1610612737,"Atlanta","Hawks","ATL",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",24
21500506,234,1,3,3,"5:17 PM","0:06","Lopez 5' Hook Shot (14 PTS) (Grant 5 AST)",NA,"","76 - 86","10",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",6
21500506,235,5,1,3,"5:17 PM","0:06","Grant STEAL (1 STL)",NA,"Mack Bad Pass Turnover (P2.T12)","","",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",6
